Article ID,Article Title,User Name,Resolve?,Include,Country,Exposure_Route,Chemical,Exposure  Model - new,Exposure_Model,Known models,Analysis  Method,Programming / Statistical analysis,Data,Population study,scope of study,year_of_study,Notes,User Note,Title,Journal,Authors
91158437,Consumer exposure and risk assessment to selected chemicals of mold stain remover use in Korea,tom+ontox-api,,,"Asia,North America","Inhalation,Dermal",,,Deterministic,,,,,,,,,,Consumer exposure and risk assessment to selected chemicals of mold stain remover use in Korea,J. Expo. Sci. Environ. Epidemiol.,"Park, J. Y.; Lim, M.; Lee, K.; Ji, K.; Yang, W.; Shin, H. S.; Lim, H.; Lee, H.; An, J."
91158437,Consumer exposure and risk assessment to selected chemicals of mold stain remover use in Korea,Maria.Kalyva,,TRUE,,,"VOCs,Phthalates,Other",,,,,,,,,,"Chemical:polycyclic aromatic hydrocarbons (PAHs), aldehydes; Data:weight fraction, layer thickness, area, density, body weight",,Consumer exposure and risk assessment to selected chemicals of mold stain remover use in Korea,J. Expo. Sci. Environ. Epidemiol.,"Park, J. Y.; Lim, M.; Lee, K.; Ji, K.; Yang, W.; Shin, H. S.; Lim, H.; Lee, H.; An, J."
91158437,Consumer exposure and risk assessment to selected chemicals of mold stain remover use in Korea,graciela.lopezsoop,,TRUE,Asia,"Dermal,Inhalation",Other,Empirical equations,,,deterministic,R,"Frequency,Amount,Duration,Concentration, Rate,Other,Factor",population analysis,HE associated with other health outcomes,2014,,,Consumer exposure and risk assessment to selected chemicals of mold stain remover use in Korea,J. Expo. Sci. Environ. Epidemiol.,"Park, J. Y.; Lim, M.; Lee, K.; Ji, K.; Yang, W.; Shin, H. S.; Lim, H.; Lee, H.; An, J."
91158438,Exposure to permethrin used as a home insecticide: A case study comparing model predictions and excretion of metabolites,tom+ontox-api,,,Asia,Inhalation,,,"Probabilistic,Deterministic",,,,,,,,,,Exposure to permethrin used as a home insecticide: A case study comparing model predictions and excretion of metabolites,Environ. Int.,"Park, S. K.; Lee, H. J.; Song, E.; Kim, Y.; Kim, D. Y.; Lee, J. H.; Yoo, H. J.; Oh, J. E.; Kwon, J. H."
91158438,Exposure to permethrin used as a home insecticide: A case study comparing model predictions and excretion of metabolites,Maria.Kalyva,,TRUE,Asia,Inhalation,Disinfecting chemicals,Mathematical model,,,probabilistic,not reported,"Concentration, Rate,Duration,Frequency","individual,cohort","human exposure (HE) estimates only,validation biomonitoring",2021,"Chemical:insecticide (permethrin); Data:volume, absorption fraction",,Exposure to permethrin used as a home insecticide: A case study comparing model predictions and excretion of metabolites,Environ. Int.,"Park, S. K.; Lee, H. J.; Song, E.; Kim, Y.; Kim, D. Y.; Lee, J. H.; Yoo, H. J.; Oh, J. E.; Kwon, J. H."
91158438,Exposure to permethrin used as a home insecticide: A case study comparing model predictions and excretion of metabolites,graciela.lopezsoop,,TRUE,Asia,Inhalation,Other,Mathematical model,,,"deterministic,probabilistic",not reported," Rate,Concentration,Other,Frequency,Duration,Factor",cohort,validation biomonitoring,,,,Exposure to permethrin used as a home insecticide: A case study comparing model predictions and excretion of metabolites,Environ. Int.,"Park, S. K.; Lee, H. J.; Song, E.; Kim, Y.; Kim, D. Y.; Lee, J. H.; Yoo, H. J.; Oh, J. E.; Kwon, J. H."
91158439,Integrated exposure and risk characterization of bisphenol-A in Europe,tom+ontox-api,,,EU,"Oral,Dermal,Inhalation",,,"Probabilistic,Not determined",,,,,,,,,,Integrated exposure and risk characterization of bisphenol-A in Europe,Food Chem. Toxicol.,"Sarigiannis, D. A.; Karakitsios, S. P.; Handakas, E.; Simou, K.; Solomou, E.; Gotti, A."
91158439,Integrated exposure and risk characterization of bisphenol-A in Europe,trine.husoy,,TRUE,,,,,,,,,,,,,,,Integrated exposure and risk characterization of bisphenol-A in Europe,Food Chem. Toxicol.,"Sarigiannis, D. A.; Karakitsios, S. P.; Handakas, E.; Simou, K.; Solomou, E.; Gotti, A."
91158439,Integrated exposure and risk characterization of bisphenol-A in Europe,Maria.Kalyva,,TRUE,EU,"Oral,Dermal,Inhalation","Bisphenols,Non-persistent",Script/Software,Probabilistic,other,probabilistic,not reported,"Concentration, Rate,Consumption,Amount",age groups,validation biomonitoring,2016,Programming / Statistical analysis:asclXtreme software; Known models:INTEGRA web platform; Data:activity paterns(time),,Integrated exposure and risk characterization of bisphenol-A in Europe,Food Chem. Toxicol.,"Sarigiannis, D. A.; Karakitsios, S. P.; Handakas, E.; Simou, K.; Solomou, E.; Gotti, A."
91158440,Linking the use of scented consumer products to consumer exposure to polycyclic musk fragrances,tom+ontox-api,,,EU,Dermal,,,"Deterministic,Probabilistic",,,,,,,,,,Linking the use of scented consumer products to consumer exposure to polycyclic musk fragrances,J. Ind. Ecol.,"Wormuth, M.; Scheringer, M.; Hungerbuhler, K."
